                                          title                                          | average 
 Mrs. Cheneys Ende                                                                       |      10
 Mrs. Dally                                                                              |      10
 My Girlfriend's Mother 6                                                                |      10
 My Heaven in You                                                                        |      10
 My Life                                                                                 |      10
 Mémoires d'un juif tropical                                                             |      10
 Mímesis                                                                                 |      10
 Nanna                                                                                   |      10
 Nation                                                                                  |      10
 Nebenwirkung Glück                                                                      |      10
 Nehru's Second Partridge                                                                |      10
 Nocturnal                                                                               |      10
 Nocturne in Black                                                                       |      10
 Odottajat                                                                               |      10
 Ogenblik                                                                                |      10
 Oh the Accent!                                                                          |      10
 Oklahoma Rocks!                                                                         |      10
 Okuyamba                                                                                |      10
 On a Tightrope                                                                          |      10
 On vous écrira                                                                          |      10
 Once You Go Black 3                                                                     |      10
 Orb                                                                                     |      10
 Ostern                                                                                  |      10
 Out of Breath                                                                           |      10
 Overturn                                                                                |      10
 P.A.T.R.I.O.T                                                                           |      10
 Paint Drying: The Movie                                                                 |      10
 Pancakes                                                                                |      10
 Para Namal                                                                              |      10
 Parable                                                                                 |      10
 Path to Geshe                                                                           |      10
 Pausenkatzen                                                                            |      10
 Photo Op                                                                                |      10
 Pieces Music Video                                                                      |      10
 Playing with Gender                                                                     |      10
 PMS                                                                                     |      10
 Project MK or: What If Your Mind Is the Original Sin?                                   |      10
 Project V.S.                                                                            |      10
 PS3 Sports Champions TV Commercial                                                      |      10
 Pupinovo detinjstvo                                                                     |      10
 Pure McCartney                                                                          |      10
 Qui aime joue perdant                                                                   |      10
 Raw                                                                                     |      10
 Red Flag Over Tibet                                                                     |      10
 Red Mountain                                                                            |      10
 Reflection                                                                              |      10
 Religion: A Tyranny of the Mind                                                         |      10
 Renegades 2                                                                             |      10
 Rette sich, wer kann oder Dummheit siegt überall                                        |      10
 Revolutionary Love                                                                      |      10
 Road Movie                                                                              |      10
 Rockatiers                                                                              |      10
 Route 66                                                                                |      10
 Ruah                                                                                    |      10
 Runaway Runway: The Flower the Squid and the Apology                                    |      10
 Rusty Nails                                                                             |      10
 Rutherford County                                                                       |      10
 Sad Story                                                                               |      10
 Samuel L Collins and the Search for Biblical Truths: Singapore                          |      10
 Sandra's Kid                                                                            |      10
 Sarah Hughes: A Life in Balance                                                         |      10
 Saving Sister Aimee                                                                     |      10
 Scher Dich zum Teufel, mein Engel                                                       |      10
 Schwarzer Peter                                                                         |      10
 Science Scams                                                                           |      10
 Second Coming                                                                           |      10
 Semi-Colon                                                                              |      10
 Sentimental Journey                                                                     |      10
 Sex Ed: The Sexual Life of an Unconfirmed Autistic                                      |      10
 Shoot to Kill                                                                           |      10
 Shots of Awe                                                                            |      10
 Show hin - Schau her                                                                    |      10
 Sign of the Dragon                                                                      |      10
 Silent Objections                                                                       |      10
 Silent Struggles                                                                        |      10
 Sinner's Saint                                                                          |      10
 Sirens                                                                                  |      10
 Slap Bass                                                                               |      10
 Slender Man Tapes                                                                       |      10
 Slender Man Tapes 2                                                                     |      10
 Slender Man Tapes 3                                                                     |      10
 Slender Man Tapes 4                                                                     |      10
 Slender Man Tapes 5                                                                     |      10
 Sliced                                                                                  |      10
 Smástirni                                                                               |      10
 So You Wanna Be a Porn Star 1: The Russians Are Cumming                                 |      10
 Sock Gets Caught by the Cops                                                            |      10
 Soli Pompeiopolis                                                                       |      10
 Something New                                                                           |      10
 Sonata facile                                                                           |      10
 Song of the Land                                                                        |      10
 Sonic.exe                                                                               |      10
 Spin That Wheel                                                                         |      10
 Stalker                                                                                 |      10
 Stingrays                                                                               |      10
 Strap-a-Dick-to-Me                                                                      |      10
 Streets to Nowhere                                                                      |      10
 Sunless                                                                                 |      10
 Sunset Strip Crime                                                                      |      10
 Super Masuyo                                                                            |      10
 Supernoir                                                                               |      10
 Susan Loves Lobsters                                                                    |      10
 Susanna                                                                                 |      10
 Suzan                                                                                   |      10
 Tales from the ClockTower                                                               |      10
 Talking Aloud Alone                                                                     |      10
 Ten                                                                                     |      10
 Terry Moore: Paradise Found                                                             |      10
 That's What I Told Her                                                                  |      10
 The Animal Cage                                                                         |      10
 The Best of 'The Temptations' on 'The Ed Sullivan Show'                                 |      10
 The Best of Phoenix Marie                                                               |      10
 The Blown Job                                                                           |      10
 The Charmed Ones                                                                        |      10
 The Chinese Word for Horse                                                              |      10
 The Coolest Way with Nicholas Tanek                                                     |      10
 The Devil's Paw                                                                         |      10
 The Drone                                                                               |      10
 The Dry Dock                                                                            |      10
 The Elevator                                                                            |      10
 The Eye of Beauty                                                                       |      10
 The Family Way                                                                          |      10
 The Final Hour                                                                          |      10
 The Fo-Fo Figgily Show                                                                  |      10
 The Garden of Now: A Collection of Mindfulness Meditation Training Exercises            |      10
 The Grand Guignol                                                                       |      10
 The Hoosac                                                                              |      10
 The Incredible Indian Adventures of Stepan Menshikov                                    |      10
 The Investment Scandal                                                                  |      10
 The Killing of Leonard Riley                                                            |      10
 The Lady Masquerade                                                                     |      10
 The Last Minute                                                                         |      10
 The Legend of Naya - Die Legende von Naya                                               |      10
 The Legend of Old Town Haunt                                                            |      10
 The Making of '2 Fast 2 Furious'                                                        |      10
 The Making of 'Soul Assassin'                                                           |      10
 The Making of a Game Show: Catch 21                                                     |      10
 The Maltese Phallus                                                                     |      10
 The Mark                                                                                |      10
 The Michael J. Epstein Memorial Library: I'm the One Who's Dead                         |      10
 The Motivational Experience                                                             |      10
 The Oasis Affair                                                                        |      10
 The Outlands                                                                            |      10
 The Perfect Stroke                                                                      |      10
 The Proxy Hypothesis                                                                    |      10
 The Real Macbeth, King of Alba                                                          |      10
 The Rich Have Their Own Photographers                                                   |      10
 The Runner                                                                              |      10
 The Sable Corsair                                                                       |      10
 The Seashell                                                                            |      10
 The Soul of the Cities                                                                  |      10
 The Sowers                                                                              |      10
 The Spirit of Diana                                                                     |      10
 The Swiss with Bulgarian Heart                                                          |      10
 The Twenty-Eight Hits for Laughs 1st Season                                             |      10
 The Twenty-Eight Hits for Laughs 2nd Season                                             |      10
 The Twenty-Eight Hits for Laughs 3rd Season                                             |      10
 The Twenty-Eight Hits for Laughs 4th Season                                             |      10
 The Unfinished Civil War                                                                |      10
 The Untouched                                                                           |      10
 The Writings of Denis Kaufman                                                           |      10
 Their Son Ryan                                                                          |      10
 Thirst                                                                                  |      10
 Tinted Windows                                                                          |      10
 Titty Creampies                                                                         |      10
 Top Son                                                                                 |      10
 Totem                                                                                   |      10
 Toyota Yaris TV Commercial                                                              |      10
 Traci K: Kiss Me Love Me                                                                |      10
 Transcendence                                                                           |      10
 Transsexual Babysitters 14                                                              |      10
 Trapped: In the Trade                                                                   |      10
 Trepsi, Nuny y Wicho - Los amigos de Trepsi                                             |      10
 Tulip, Texas and Us                                                                     |      10
 Twelve Pigeons and You                                                                  |      10
 Two of a Kind                                                                           |      10
 UFAH Favorites                                                                          |      10
 Umbra                                                                                   |      10
 Una bahia a defender                                                                    |      10
 Une histoire triste                                                                     |      10
 Unknown Me... Nirbhaya                                                                  |      10
 Usluga tacna i solidna                                                                  |      10
 Vernutsya v proshloe po fotografiyam                                                    |      10
 Vestigio                                                                                |      10
 Vraziji otok                                                                            |      10
 Vulgate                                                                                 |      10
 Wait, Wait... Don't Tell Me!                                                            |      10
 Wake No More                                                                            |      10
 Wasteland: Gunfighter's Curse                                                           |      10
 Watch                                                                                   |      10
 Water Works                                                                             |      10
 Wearing the Unknown                                                                     |      10
 Weeding by Example                                                                      |      10
 Welcome to the Bubs                                                                     |      10
 White Privilege Frankenstein                                                            |      10
 Wing-Nuts                                                                               |      10
 Witch Hunt                                                                              |      10
 Word Up: From Ghetto to Mecca                                                           |      10
 Xenesis                                                                                 |      10
 Yes Planet                                                                              |      10
 Zivjeti s cetrnaestoro                                                                  |      10
 Zombie Apocalypse                                                                       |      10
 Zwischen Montag und Samstag                                                             |      10
 Zwischenfall im Roxy                                                                    |      10
 ¡Hombre!                                                                                |      10
 ¿Existes?                                                                               |      10
 Évora                                                                                   |      10
 Democratic Battle                                                                       |      10
 Lewie and Crew Do Studio                                                                |      10
 Meet Chrissy                                                                            |      10
 Sammie of the 90210                                                                     |      10
 Stroke Man and the Soul Brotha                                                          |      10
 (#1.3)                                                                                  |      10
 Who the F*** Is Aidan Park?!?                                                           |      10
 Phoenix Harris                                                                          |      10
 Pilot                                                                                   |      10
 Sulle Nuvole                                                                            |      10
 1975 Pittsburgh Steelers                                                                |      10
 Let's Do the Time Warp                                                                  |      10
 How Do Airplanes Fly?                                                                   |      10
 How Does Night Happen?                                                                  |      10
 Where Does Rain Come From?                                                              |      10
 Why Do I Have to Brush My Teeth?                                                        |      10
 Why Is the Sky Blue?                                                                    |      10
 (#1.11)                                                                                 |      10
 (#1.8)                                                                                  |      10
 (#1.9)                                                                                  |      10
 Predator                                                                                |      10
 Kirkindan sonra...                                                                      |      10
 Job Training                                                                            |      10
 Present                                                                                 |      10
 Of Pasts Relived                                                                        |      10
 Objekt der Begierde                                                                     |      10
 (#1.1)                                                                                  |      10
 (#1.10)                                                                                 |      10
 (#1.2)                                                                                  |      10
 (#1.3)                                                                                  |      10
 (#1.4)                                                                                  |      10
 (#1.5)                                                                                  |      10
 (#1.6)                                                                                  |      10
 (#1.7)                                                                                  |      10
 (#1.8)                                                                                  |      10
 (#1.9)                                                                                  |      10
 (#1.17)                                                                                 |      10
 Name Dropping                                                                           |      10
 Almost a Revolution by Shen Tong                                                        |      10
 Cat Burglar                                                                             |      10
 Paul-Pot                                                                                |      10
 Ozymandias                                                                              |      10
 Small Spaces, Felt Faces                                                                |      10
 Zuri Has a Little Lamb                                                                  |      10
 Unbridled Greed                                                                         |      10
 Jared Leto - Owning Yourself                                                            |      10
 Le clown psychopathe                                                                    |      10
 Le clown triste                                                                         |      10
 Enter in His World                                                                      |      10
 Pilot                                                                                   |      10
 Special Episode                                                                         |      10
 Hollywood Heartburn                                                                     |      10
 Bert's Boring Day                                                                       |      10
 Return of the Litter                                                                    |      10
 Shipwrecked Charlie                                                                     |      10
 (1996-11-08)                                                                            |      10
 (2011-05-26)                                                                            |      10
 Cannes at March Du Film Festival De Cannes                                              |      10
 Hollywood at Beverly Hilton                                                             |      10
 Santa Monica                                                                            |      10
 The Competition                                                                         |      10
 Jake Johnson Wears a Light Blue Button-Up Shirt and Brown Shoes                         |      10
 (#1.10)                                                                                 |      10
 (#1.11)                                                                                 |      10
 (#1.13)                                                                                 |      10
 (#1.15)                                                                                 |      10
 (#1.18)                                                                                 |      10
 (#1.19)                                                                                 |      10
 (#1.21)                                                                                 |      10
 (#1.23)                                                                                 |      10
 (#1.26)                                                                                 |      10
 (#1.27)                                                                                 |      10
 (#1.1)                                                                                  |      10
 In der Falle                                                                            |      10
 (#3.147)                                                                                |      10
 Old School Joints                                                                       |      10
 (#4.16)                                                                                 |      10
 (2011-06-30)                                                                            |      10
 Wizards of Waverly Place                                                                |      10
 Second Nudist Turntable                                                                 |      10
 Third Nudist Phonebooth                                                                 |      10
 Bette Davis                                                                             |      10
 Caliente!                                                                               |      10
 I Hope She Was Worth It                                                                 |      10
 Ride or Die                                                                             |      10
 Wanna Bro Job?                                                                          |      10
 You're Dancing Like a Gringo                                                            |      10
 Nation of Islam                                                                         |      10
 In a Dying World of Liars and Thieves                                                   |      10
 The Levels of Resurrection                                                              |      10
 (#1.1)                                                                                  |      10
 (2007-08-15)                                                                            |      10
 All American Guy                                                                        |      10
 Jasmine                                                                                 |      10
 Spring Break                                                                            |      10
 Schauspieler in Los Angeles                                                             |      10
 Easter Special 2015                                                                     |      10
 Watermelon Challenge                                                                    |      10
 Neue Wege                                                                               |      10
 1963 Corvette and 1931 Model a Hot Rod                                                  |      10
 1964 Impala and 1957 Chevrolet Bel Air Wagon                                            |      10
 1965 Cadillac DeVille and 1984 Monte Carlo                                              |      10
 1965 Mustang and 1951 Studebaker Truck                                                  |      10
 1966 VW Beetle and 1976 TR6 Convertible                                                 |      10
 All Metal Mustang                                                                       |      10
 Fast & Dangerous                                                                        |      10
 Tip of the Iceberg                                                                      |      10
 Escrever ou Digitar?                                                                    |      10
 High Plains Feaster                                                                     |      10
 (#2.1)                                                                                  |      10
 (#2.2)                                                                                  |      10
 (#2.3)                                                                                  |      10
 (#2.4)                                                                                  |      10
 (#2.5)                                                                                  |      10
 (#2.6)                                                                                  |      10
 Alice in Wonderland                                                                     |      10
 (2013-10-16)                                                                            |      10
 4/18/2014                                                                               |      10
 Assault                                                                                 |      10
 Jaywalking                                                                              |      10
 Possession                                                                              |      10
 Warrants                                                                                |      10
 112                                                                                     |      10
 China: The Women's Kingdom                                                              |      10
 Shadows and Lies/A Death in the Desert/The Women's Kingdom                              |      10
 The Woman's Kingdom                                                                     |      10
 Weight of the World                                                                     |      10
 From Akita with Love: Beautiful Country                                                 |      10
 From Akita with Love: Kingdom of Gourmet                                                |      10
 Shingo Kazami Goes to Takaoka Part 1                                                    |      10
 Shingo Kazami Goes to Takaoka Part 2                                                    |      10
 Star Wars: The Force Unleashed                                                          |      10
 Gastro the Snail                                                                        |      10
 Blood Is Thicker Than Slime Part 1                                                      |      10
 Butthole Gnats                                                                          |      10
 Mantodea                                                                                |      10
 Origins                                                                                 |      10
 24 Minuten                                                                              |      10
 Abgeschleppt                                                                            |      10
 Ruhe                                                                                    |      10
 First Day of School                                                                     |      10
 Gli Aspiranti: Colombina De Longhi                                                      |      10
 A Modest Proposal                                                                       |      10
 The Leather Funnel                                                                      |      10
 A Visit from Mom                                                                        |      10
 Breakdown                                                                               |      10
 Caught in a Mousetrap                                                                   |      10
 Closing Time                                                                            |      10
 Gigi's Night Out                                                                        |      10
 Leave the Gun, Take the Cannoli                                                         |      10
 Meet Me on the Mountain Part 1                                                          |      10
 Memory Lane                                                                             |      10
 Networking                                                                              |      10
 She's a Mess                                                                            |      10
 The Dorothy Project Volume 1                                                            |      10
 The Dorothy Project Volume 10                                                           |      10
 The Dorothy Project Volume 11                                                           |      10
 The Dorothy Project Volume 12                                                           |      10
 The Dorothy Project Volume 13                                                           |      10
 The Dorothy Project Volume 3                                                            |      10
 The Dorothy Project Volume 4                                                            |      10
 The Dorothy Project Volume 5                                                            |      10
 The Dorothy Project Volume 6                                                            |      10
 The Dorothy Project Volume 7                                                            |      10
 The Dorothy Project Volume 8                                                            |      10
 The Dorothy Project Volume 9                                                            |      10
 The Good Life                                                                           |      10
 The Main Event                                                                          |      10
 Tom's Bad Hair Day                                                                      |      10
 What Are You Wearing?                                                                   |      10
 Jevon and Brittany                                                                      |      10
 Julie and Hayley                                                                        |      10
 Hajducki gaj                                                                            |      10
 Bacon Boy                                                                               |      10
 Easy Money                                                                              |      10
 Favor for a Favor                                                                       |      10
 Origins                                                                                 |      10
 Punch Out                                                                               |      10
 (2005-09-19)                                                                            |      10
 The Rumble in the Jungle: Ali vs. Foreman                                               |      10
 Prank Calls                                                                             |      10
 Debbie Macomber/John DeLuca/Dianne Lennon                                               |      10
 Horror/Kung-fu Theatre's 23rd Christmas Special                                         |      10
 Christian Anders                                                                        |      10
 Michael von Au                                                                          |      10
 Welcome to Bad Boy                                                                      |      10
 A Child Again                                                                           |      10
 An Animal                                                                               |      10
 Santa Claus                                                                             |      10
 (#1.1)                                                                                  |      10
 (#1.2)                                                                                  |      10
 Chicago                                                                                 |      10
 Der Trick mit dem Schlüssel                                                             |      10
 Atlanta Battle                                                                          |      10
 Detroit                                                                                 |      10
 New York Battle                                                                         |      10
 New York                                                                                |      10
 Philadelphia Battle                                                                     |      10
 The Battles of Our Youth                                                                |      10
 Desperate Housewife                                                                     |      10
 Little Women                                                                            |      10
 Party Time                                                                              |      10
 Reading, Writing and Robberies                                                          |      10
 Security He Said/She Said                                                               |      10
 Station Break                                                                           |      10
 Bad Father                                                                              |      10
 Meeting Jessica & Krystal                                                               |      10
 Nachtflug                                                                               |      10
 A Journey in the Making                                                                 |      10
 Begginnings                                                                             |      10
 Ermione's Dream                                                                         |      10
 One Bad Start                                                                           |      10
 Patrice Makes a Cast Dance                                                              |      10
 Tommy's Acting Grind                                                                    |      10
 Louis Farrakhan                                                                         |      10
 Zivot kakav znamo                                                                       |      10
 Sierra, Rashad                                                                          |      10
 (#1.5)                                                                                  |      10
 (#9.1)                                                                                  |      10
 Politically Correct Dodgeball                                                           |      10
 (#1.3)                                                                                  |      10
 (#1.4)                                                                                  |      10
 (#1.5)                                                                                  |      10
 (#1.7)                                                                                  |      10
 (#1.8)                                                                                  |      10
 (#1.9)                                                                                  |      10
 Dev and Natasha's Engagement Is Fixed.                                                  |      10
 Dev and Sona argue over an issue                                                        |      10
 Dev and Sona dance at the party                                                         |      10
 Dev and Sona fight with each other.                                                     |      10
 Dev and Sona promise to never leave each other                                          |      10
 Dev and Sona take their marriage vows                                                   |      10
 Dev and Sonakshi cannot spend time together                                             |      10
 Dev and Sonakshi get into a fight                                                       |      10
 Dev and Sonakshi get into a fight                                                       |      10
 Dev and Sonakshi get romantic and dance together                                        |      10
 Dev and Sonakshi Go for Dinner.                                                         |      10
 Dev and Sonakshi put colors on each other.                                              |      10
 Dev apologises to Sona for his mistake                                                  |      10
 Dev approaches Sonakshi                                                                 |      10
 Dev Arranges Rare Blood Group for Sonakshi.                                             |      10
 Dev Blabbers Sona's Name in High Fever Front of Ishwari.                                |      10
 Dev brings sugarfree cake for Sonakshi's mother                                         |      10
 Dev Calls Off His Engagement with Natasha                                               |      10
 Dev Comes to Know That Sonakshi Is a Nutritionist                                       |      10
 Dev creates Sona's online marriage profile                                              |      10
 Dev Decides to Drop Natasha in His Car.                                                 |      10
 Dev Doubts Sonakshi and Neil's Relationship.                                            |      10
 Dev Faces Losses in Business Due to Gujral.                                             |      10
 Dev Gets Upset to See Her Mother's Strange Behaviour                                    |      10
 Dev hires Sonakshi as his mother's personal nutritionist                                |      10
 Dev inks the name Devakshi on Sona's Shoulder                                           |      10
 Dev interrogates Sona on her and Neil's relationship.                                   |      10
 Dev Is Unable to Tell Ishwari About Him and Sona.                                       |      10
 Dev mesmerized by Sonakshi's look                                                       |      10
 Dev Prays for Sonakshi's Fast Recovery.                                                 |      10
 Dev spoils Sonakshi's mother's birthday cake                                            |      10
 Dev Tries to Convince Sonakshi to Work as His Mother's Personal Nutritionist            |      10
 Dev upsets Ishwari                                                                      |      10
 Dev Visits Sonakshi's House to Thank Her for Admitting Ishwari in Hospital              |      10
 Dev Visits Sonakshi's House.                                                            |      10
 Family Photograph                                                                       |      10
 Ishwari Falls Ill                                                                       |      10
 Ishwari finds Dev and Sona together                                                     |      10
 Ishwari Gives Consent for Dev and Sona's Relation                                       |      10
 Ishwari Unhappy with Dev                                                                |      10
 Ishwari worries due to Khatri's blackmail                                               |      10
 Ishwari's Weird Behaviour                                                               |      10
 Khatri visits Ishwari again                                                             |      10
 Neha cannot read English                                                                |      10
 Neha Loves Ranveer.                                                                     |      10
 Neha Wants to Marry Ranveer.                                                            |      10
 Radha intentionally eats Ishwari's food just to build an argument with Sona             |      10
 Radha senses Sona in Dev's room                                                         |      10
 Sona and Dev Get Happy                                                                  |      10
 Sona and Dev get locked in her house.                                                   |      10
 Sona asks Dev to not call her again                                                     |      10
 Sona cannot meet ill Dev                                                                |      10
 Sona comes to know that Dev is an atheist.                                              |      10
 Sona consoles Dev.                                                                      |      10
 Sona convinces Neha                                                                     |      10
 Sona Doesn't Accept New Phone from Dev                                                  |      10
 Sona feels jealous seeing Dev and Natasha together.                                     |      10
 Sona gets upset with Dev                                                                |      10
 Sona is heartbroken.                                                                    |      10
 Sona joins her job again                                                                |      10
 Sona lies to Dev and Natasha of having a boyfriend.                                     |      10
 Sona tells Dev Neil's truth.                                                            |      10
 Sona's Fake Boyfriend, Neil Lakhotia's Entry                                            |      10
 Sonakshi accepts Dev's job offer                                                        |      10
 Sonakshi and Nikki play badminton                                                       |      10
 Sonakshi changes her perception about Dev                                               |      10
 Sonakshi Consults Dev to Not Take Sleeping Pills.                                       |      10
 Sonakshi Finds Radha Stealing Money.                                                    |      10
